1PROG.- EEAMX14A                                       COORDINACION DE COBRANZA                                       PAGINA:      01,,,18/09/2019 14:03,,,,,,,,,,,,,
                    DELEGACION: 06 REGIONAL COLIMA                          SUBDELEGACION: 03 MANZANILLO                             ,,,,,,,,,,,,,,,,
 COBR0603                                                                                                                            ,,,,,,,,,,,,,,,,
                                           PATRONES CON CREDITOS EN R.A.L.E. AL 30 08 2019                                           ,,,,,,,,,,,,,,,,
                                                   C R E D I T O S   P R O P I O S                                                   ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
TOTAL DE LA SUBDELEGACION:,PATRONES:, 374 ,CREDITOS:," 1,609 ",IMPORTE:," 35,050,610.58 ",,,,,,,,,,
"              ACT.ECO:             MODALIDAD(ES): 10....17        TIPO DOCTO(S): 00....89        INCIDENCIA(S): 00,..,55             ",,,,,,,,,,,,,,,,
             IMPORTE:                                          PERIODO:                       ANTIGUEDAD  MAYOR  A:                  ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
REGPATR,MOV,FEC MOV,SECTOR,NUM CRED,CE,PERIODO,TD,FALTA,FEC NOTIF,FEC INC,FEC. INCID.,DIAS,IMPORTE,DEL CONT,SUB CONT,OBSERVACIONES
A48-22011-10,3,24/04/2019,02,193000903,,04/2019,03,13/08/2019,,009,26/08/2019,4,441.74,,,
A48-22011-10,3,24/04/2019,02,198000903,,04/2019,82,13/08/2019,,009,26/08/2019,4,176.69,,,
A48-23095-10,1,06/01/2006,05,168002427,,12/2015,80,02/09/2016,19/02/2016,025,18/04/2016,1229,"1,823.58",,,
A48-23095-10,1,06/01/2006,05,162002427,,12/2015,02,02/09/2016,19/02/2016,025,18/04/2016,1229,"4,558.95",,,
A48-23095-10,1,06/01/2006,05,166001870,,06/2015,81,19/01/2016,29/01/2016,025,18/04/2016,1229,"1,771.70",,,
A48-23207-10,1,12/04/2006,05,146007169,,01/2014,81,14/04/2014,,025,05/05/2014,1943,"2,546.20",,,
A48-23207-10,1,12/04/2006,05,148006778,,02/2014,80,14/04/2014,,025,05/05/2014,1943,"2,554.56",,,
A48-23207-10,1,12/04/2006,05,142006778,,02/2014,02,14/04/2014,,025,05/05/2014,1943,"6,386.40",,,
A48-23208-10,3,18/10/2014,05,191060747,,07/2019,02,31/07/2019,,000,31/07/2019,30,"2,982.24",,,
A48-23377-10,1,18/04/2007,06,189030975,,10/2014,60,07/03/2018,07/05/2018,052,25/02/2019,186,"47,129.54",,,
A48-23377-10,1,18/04/2007,06,189030976,,11/2014,60,07/03/2018,07/05/2018,052,25/02/2019,186,"145,570.42",,,
A48-23377-10,1,18/04/2007,06,189030977,,12/2014,60,07/03/2018,07/05/2018,052,25/02/2019,186,"101,899.28",,,
A48-23413-10,3,05/01/2014,09,198012963,,06/2019,80,18/07/2019,22/07/2019,031,23/08/2019,7,574.64,,,
A48-23413-10,3,05/01/2014,09,196013687,,03/2019,81,18/07/2019,22/07/2019,031,23/08/2019,7,328.64,,,
A48-23414-10,2,03/01/2019,05,169023969,,02/2016,00,02/09/2016,16/02/2016,009,03/06/2019,177,"1,375,517.57",,,
A48-23426-10,3,17/04/2019,05,198000904,,04/2019,82,13/08/2019,23/08/2019,002,23/08/2019,7,"1,053.52",,,
A48-23426-10,3,17/04/2019,05,193000904,,04/2019,03,13/08/2019,23/08/2019,002,23/08/2019,7,"2,633.82",,,
A48-23445-10,1,20/06/2007,08,136020811,,04/2013,81,10/08/2013,,025,20/11/2013,2109,"2,046.23",,,
A48-23445-10,1,20/06/2007,08,138020220,,08/2013,80,10/08/2013,,025,20/11/2013,2109,"3,023.93",,,
A48-23445-10,1,20/06/2007,08,132020220,,08/2013,02,10/08/2013,,025,20/11/2013,2109,"7,559.84",,,
A48-23454-10,3,09/05/2018,05,198015429,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"1,093.84",,,
A48-23454-10,3,09/05/2018,05,192015429,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"2,734.62",,,
A48-23454-10,3,09/05/2018,05,198012964,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,"1,058.58",,,
A48-23454-10,3,09/05/2018,05,192012964,,06/2019,02,18/07/2019,19/07/2019,031,23/08/2019,7,"2,646.45",,,
A48-23454-10,3,09/05/2018,05,196013688,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,492.96,,,
A48-23533-10,2,25/06/2019,00,196011130,,02/2019,81,29/05/2019,07/10/2019,009,13/06/2019,78,367.46,,,
A48-23533-10,2,25/06/2019,00,196013689,,03/2019,81,18/07/2019,,009,19/07/2019,42,337.34,,,
A48-23617-10,1,25/09/2007,07,191060813,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,567.19",,,
A48-23617-10,1,25/09/2007,07,192014818,,06/2019,02,30/07/2019,08/12/2019,008,22/08/2019,8,"1,516.65",,,
A48-23617-10,1,25/09/2007,07,198014818,,06/2019,80,30/07/2019,08/12/2019,008,22/08/2019,8,606.66,,,
A48-23617-10,1,25/09/2007,07,196013690,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,393.98,,,
A48-23620-10,3,04/01/2012,05,198015430,,07/2019,80,20/08/2019,20/08/2019,002,20/08/2019,10,325.55,,,
A48-23620-10,3,04/01/2012,05,192015430,,07/2019,02,20/08/2019,20/08/2019,002,20/08/2019,10,813.88,,,
A48-23620-10,3,04/01/2012,05,192012965,,06/2019,02,18/07/2019,23/07/2019,031,23/08/2019,7,787.63,,,
A48-23620-10,3,04/01/2012,05,198012965,,06/2019,80,18/07/2019,23/07/2019,031,23/08/2019,7,315.05,,,
A48-23620-10,3,04/01/2012,05,196013691,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,164.32,,,
A48-23636-10,1,10/01/2007,10,191060817,,07/2019,02,31/07/2019,,000,31/07/2019,30,"3,323.39",,,
A48-23701-10,3,10/01/2013,05,196011131,,02/2019,81,29/05/2019,06/11/2019,023,08/02/2019,28,"5,834.34",,,
A48-23701-10,3,10/01/2013,05,198010584,,04/2019,80,29/05/2019,06/11/2019,023,08/02/2019,28,"9,743.17",,,
A48-23769-10,3,24/08/2017,00,196011132,,02/2019,81,29/05/2019,06/10/2019,023,30/07/2019,31,"1,353.67",,,
A48-23769-10,3,24/08/2017,00,198010585,,04/2019,80,29/05/2019,06/10/2019,023,30/07/2019,31,"2,000.25",,,
A48-23806-10,1,22/02/2008,00,198012967,,06/2019,80,18/07/2019,23/07/2019,031,20/08/2019,10,"1,149.29",,,
A48-23806-10,1,22/02/2008,00,196013693,,03/2019,81,18/07/2019,23/07/2019,031,20/08/2019,10,657.28,,,
A48-23825-10,1,01/01/2008,00,192014819,,06/2019,02,30/07/2019,15/08/2019,008,22/08/2019,8,"4,967.73",,,
A48-23825-10,1,01/01/2008,00,198014819,,06/2019,80,30/07/2019,15/08/2019,008,22/08/2019,8,"1,987.09",,,
A48-23825-10,1,01/01/2008,00,196014319,,03/2019,81,30/07/2019,15/08/2019,008,22/08/2019,8,"1,460.39",,,
A48-23825-10,1,01/01/2008,00,191060849,,07/2019,02,31/07/2019,,000,31/07/2019,30,"4,355.91",,,
A48-23830-10,1,13/03/2008,00,191060851,C,07/2019,02,31/07/2019,,000,31/07/2019,30,115.66,,,
A48-23891-10,3,12/01/2008,05,191060857,,07/2019,02,31/07/2019,,000,31/07/2019,30,"3,428.28",,,
A48-23899-10,1,13/05/2008,05,196014321,,03/2019,81,30/07/2019,08/12/2019,002,08/12/2019,18,"16,998.82",,,
A48-23899-10,1,13/05/2008,05,198014821,,06/2019,80,30/07/2019,08/12/2019,002,08/12/2019,18,"19,393.27",,,
A48-23933-10,1,26/05/2008,06,198012968,,06/2019,80,18/07/2019,22/08/2019,009,25/07/2019,36,"13,612.26",,,
A48-24042-10,2,18/10/2016,08,168007716,,03/2016,80,19/04/2016,20/04/2016,009,29/12/2016,974,"30,931.24",,,
A48-24042-10,2,18/10/2016,08,162007716,,03/2016,02,19/04/2016,20/04/2016,009,29/12/2016,974,"77,328.12",,,
A48-24042-10,2,18/10/2016,08,168001617,,03/2016,82,29/11/2016,21/02/2017,009,12/09/2016,994,"29,331.39",,,
A48-24042-10,2,18/10/2016,08,168017517,,08/2016,80,20/09/2016,22/09/2016,009,11/03/2016,1030,"33,102.87",,,
A48-24042-10,2,18/10/2016,08,162017517,,08/2016,02,20/09/2016,22/09/2016,009,11/03/2016,1030,"82,757.18",,,
A48-24042-10,2,18/10/2016,08,168050018,,03/2016,89,04/11/2016,18/04/2016,009,29/12/2016,974,"1,460.80",,,
A48-24042-10,2,18/10/2016,08,166005828,,01/2016,81,18/03/2016,23/03/2016,009,29/12/2016,974,"28,423.73",,,
A48-24042-10,2,18/10/2016,08,166013633,,03/2016,81,19/07/2016,28/07/2016,009,19/09/2016,1075,"29,453.88",,,
A48-24042-10,2,18/10/2016,08,166009034,,02/2016,81,18/05/2016,19/05/2016,009,29/12/2016,974,"28,742.25",,,
A48-24042-10,2,18/10/2016,08,168020236,,09/2016,80,18/10/2016,21/02/2017,009,18/10/2016,1046,"32,376.38",,,
A48-24042-10,2,18/10/2016,08,162020236,,09/2016,02,18/10/2016,21/02/2017,009,18/10/2016,1046,"80,940.95",,,
A48-24042-10,2,18/10/2016,08,166022159,,05/2016,81,18/11/2016,21/02/2017,009,25/11/2016,1008,"23,680.59",,,
A48-24042-10,2,18/10/2016,08,166018463,,04/2016,81,20/09/2016,22/09/2016,009,11/03/2016,1030,"30,020.71",,,
A48-24042-10,2,18/10/2016,08,198000171,,02/2016,82,03/11/2019,22/04/2019,009,20/03/2019,163,"29,008.75",,,
A48-24042-10,2,18/10/2016,08,193000171,,02/2016,03,03/11/2019,22/04/2019,009,20/03/2019,163,"72,521.89",,,
A48-24042-10,2,18/10/2016,08,168012672,,06/2016,80,19/07/2016,28/07/2016,009,19/09/2016,1075,"31,637.70",,,
A48-24042-10,2,18/10/2016,08,162021374,,10/2016,02,18/11/2016,21/02/2017,009,25/11/2016,1008,"48,564.55",,,
A48-24042-10,2,18/10/2016,08,168021374,,10/2016,80,18/11/2016,21/02/2017,009,25/11/2016,1008,"19,425.82",,,
A48-24042-10,2,18/10/2016,08,168016179,,07/2016,80,18/08/2016,24/08/2016,009,24/10/2016,1040,"32,783.90",,,
A48-24042-10,2,18/10/2016,08,162016179,,07/2016,02,18/08/2016,24/08/2016,009,24/10/2016,1040,"81,959.77",,,
A48-24042-10,2,18/10/2016,08,198000183,,01/2016,82,03/11/2019,22/04/2019,009,20/03/2019,163,"28,777.08",,,
A48-24042-10,2,18/10/2016,08,163000888,,04/2016,03,27/09/2016,16/01/2017,009,10/07/2016,1057,"76,443.57",,,
A48-24042-10,2,18/10/2016,08,168000888,,04/2016,82,27/09/2016,16/01/2017,009,10/07/2016,1057,"30,577.42",,,
A48-24042-10,2,18/10/2016,08,168009992,,04/2016,80,18/05/2016,19/05/2016,009,29/12/2016,974,"30,824.38",,,
A48-24042-10,2,18/10/2016,08,168000895,,02/2016,82,27/09/2016,16/01/2017,009,10/07/2016,1057,"28,619.76",,,
A48-24042-10,2,18/10/2016,08,168001596,,06/2016,82,17/11/2016,21/02/2017,009,12/07/2016,996,"31,390.75",,,
A48-24042-10,2,18/10/2016,08,163001596,,06/2016,03,17/11/2016,21/02/2017,009,12/07/2016,996,"78,476.89",,,
A48-24042-10,2,18/10/2016,08,168004896,,02/2016,80,18/03/2016,23/03/2016,009,29/12/2016,974,"29,274.87",,,
A48-24147-10,1,24/11/2008,02,192012970,,06/2019,02,18/07/2019,24/07/2019,031,23/08/2019,7,424.21,,,
A48-24147-10,1,24/11/2008,02,198012970,,06/2019,80,18/07/2019,24/07/2019,031,23/08/2019,7,169.68,,,
A48-24147-10,1,24/11/2008,02,196013695,,03/2019,81,18/07/2019,24/07/2019,031,23/08/2019,7,236.11,,,
A48-24150-10,1,27/11/2008,09,191060906,,07/2019,02,31/07/2019,,000,31/07/2019,30,"5,457.01",,,
A48-24154-10,1,12/01/2008,06,191060908,,07/2019,02,31/07/2019,,000,31/07/2019,30,"2,231.93",,,
A48-24225-10,1,02/03/2009,05,198015433,,07/2019,80,20/08/2019,,009,23/08/2019,7,"1,652.31",,,
A48-24225-10,1,02/03/2009,05,192015433,,07/2019,02,20/08/2019,,009,23/08/2019,7,"4,589.73",,,
A48-24225-10,1,02/03/2009,05,198012971,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,"1,599.02",,,
A48-24225-10,1,02/03/2009,05,196013696,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,817.29,,,
A48-24255-10,1,20/10/2008,05,198012972,,06/2019,80,18/07/2019,25/07/2019,031,23/08/2019,7,"6,684.09",,,
A48-24262-10,1,03/06/2009,07,198012334,,05/2019,80,28/06/2019,07/11/2019,023,08/12/2019,18,"2,939.28",,,
A48-24286-10,1,26/03/2009,07,198012973,,06/2019,80,18/07/2019,23/07/2019,031,23/08/2019,7,606.66,,,
A48-24286-10,1,26/03/2009,07,196013698,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,393.98,,,
A48-24305-10,3,02/01/2011,06,196013699,,03/2019,81,18/07/2019,25/07/2019,031,23/08/2019,7,164.32,,,
A48-24409-10,1,16/07/2009,05,191060969,,07/2019,02,31/07/2019,,000,31/07/2019,30,"9,970.84",,,
A48-24412-10,2,29/11/2018,00,186017005,,04/2018,81,27/09/2018,10/09/2018,009,15/11/2018,288,"115,316.77",,,
A48-24412-10,2,29/11/2018,00,188000316,,03/2018,82,05/03/2018,18/05/2018,009,21/12/2018,252,"18,969.53",,,
A48-24412-10,2,29/11/2018,00,188012921,,06/2018,80,31/07/2018,15/08/2018,009,21/12/2018,252,"122,750.28",,,
A48-24412-10,2,29/11/2018,00,182012921,,06/2018,02,31/07/2018,15/08/2018,009,21/12/2018,252,"313,359.21",,,
A48-24412-10,2,29/11/2018,00,186019824,,05/2018,81,21/11/2018,20/12/2018,009,21/11/2018,282,"117,820.31",,,
A48-24412-10,2,29/11/2018,00,188000429,,02/2018,82,06/05/2018,06/12/2018,009,21/12/2018,252,"121,106.66",,,
A48-24412-10,2,29/11/2018,00,186013347,,03/2018,81,31/07/2018,15/08/2018,009,21/12/2018,252,"99,695.67",,,
A48-24412-10,2,29/11/2018,00,196000477,,06/2018,81,18/01/2019,19/02/2019,009,18/01/2019,224,"14,663.58",,,
A48-24412-10,2,29/11/2018,00,182020587,,10/2018,02,29/11/2018,12/12/2018,009,12/07/2018,266,"455,021.72",,,
A48-24412-10,2,29/11/2018,00,188020587,,10/2018,80,29/11/2018,12/12/2018,009,12/07/2018,266,"182,008.68",,,
A48-24412-10,2,29/11/2018,00,182022089,,11/2018,02,18/12/2018,20/12/2018,009,18/12/2018,255,"100,155.15",,,
A48-24412-10,2,29/11/2018,00,188022089,,11/2018,80,18/12/2018,20/12/2018,009,18/12/2018,255,"40,062.06",,,
A48-24412-10,2,29/11/2018,00,188018392,,09/2018,80,31/10/2018,20/12/2018,009,14/11/2018,289,"146,703.41",,,
A48-24412-10,2,29/11/2018,00,182018392,,09/2018,02,31/10/2018,20/12/2018,009,14/11/2018,289,"366,758.54",,,
A48-24412-10,2,29/11/2018,00,188010996,,05/2018,80,07/02/2018,13/07/2018,009,21/12/2018,252,"152,671.23",,,
A48-24412-10,2,29/11/2018,00,182010996,,05/2018,02,07/02/2018,13/07/2018,009,21/12/2018,252,"388,975.34",,,
A48-24412-10,2,29/11/2018,00,183000398,,04/2018,03,06/05/2018,06/12/2018,009,21/12/2018,252,"398,950.55",,,
A48-24412-10,2,29/11/2018,00,188000398,,04/2018,82,06/05/2018,06/12/2018,009,21/12/2018,252,"156,513.06",,,
A48-24488-10,3,10/06/2017,05,198015436,,07/2019,80,20/08/2019,26/08/2019,002,26/08/2019,4,"2,155.43",,,
A48-24513-10,2,05/02/2019,07,196013702,,03/2019,81,18/07/2019,14/08/2019,009,19/07/2019,42,34.59,,,
A48-24513-10,2,05/02/2019,07,198011812,,05/2019,80,18/06/2019,15/07/2019,009,18/06/2019,73,117.19,,,
A48-24513-10,2,05/02/2019,07,192011812,,05/2019,02,18/06/2019,15/07/2019,009,18/06/2019,73,292.98,,,
A48-24513-10,2,05/02/2019,07,198004414,,01/2019,80,28/02/2019,14/03/2019,009,05/02/2019,120,"2,857.48",,,
A48-24513-10,2,05/02/2019,07,192004414,,01/2019,02,28/02/2019,14/03/2019,009,05/02/2019,120,"7,143.72",,,
A48-24513-10,2,05/02/2019,07,192001829,,12/2018,02,31/01/2019,13/02/2019,039,13/08/2019,17,"6,353.96",,,
A48-24513-10,2,05/02/2019,07,198001829,,12/2018,80,31/01/2019,13/02/2019,039,13/08/2019,17,"2,541.58",,,
A48-24513-10,2,05/02/2019,07,198006533,,02/2019,80,29/03/2019,15/04/2019,009,14/06/2019,77,"2,411.35",,,
A48-24513-10,2,05/02/2019,07,192006533,,02/2019,02,29/03/2019,15/04/2019,009,14/06/2019,77,"6,028.38",,,
A48-24513-10,2,05/02/2019,07,196011143,,02/2019,81,29/05/2019,07/04/2019,009,06/11/2019,80,"1,384.53",,,
A48-24513-10,2,05/02/2019,07,196002246,,06/2018,81,31/01/2019,13/02/2019,039,13/08/2019,17,"1,396.00",,,
A48-24513-10,2,05/02/2019,07,192009156,,04/2019,02,21/05/2019,24/06/2019,009,22/05/2019,100,"5,769.25",,,
A48-24513-10,2,05/02/2019,07,198009156,,04/2019,80,21/05/2019,24/06/2019,009,22/05/2019,100,"2,307.70",,,
A48-24513-10,2,05/02/2019,07,192007862,,03/2019,02,22/04/2019,31/05/2019,009,05/02/2019,120,"6,055.14",,,
A48-24513-10,2,05/02/2019,07,198007862,,03/2019,80,22/04/2019,31/05/2019,009,05/02/2019,120,"2,422.05",,,
A48-24513-10,2,05/02/2019,07,196007095,,01/2019,81,29/03/2019,15/04/2019,009,14/06/2019,77,"1,582.29",,,
A48-24587-10,1,19/01/2010,10,168004151,,01/2016,80,03/09/2016,,025,18/04/2016,1229,"1,369.49",,,
A48-24587-10,1,19/01/2010,10,162004151,,01/2016,02,03/09/2016,,025,18/04/2016,1229,"3,423.73",,,
A48-24641-10,1,28/01/2010,05,196013705,,03/2019,81,18/07/2019,25/07/2019,031,23/08/2019,7,328.64,,,
A48-24641-10,1,28/01/2010,05,198012979,,06/2019,80,18/07/2019,25/07/2019,031,23/08/2019,7,590.88,,,
A48-24704-10,3,02/07/2018,10,191061035,,07/2019,02,31/07/2019,,000,31/07/2019,30,"4,041.52",,,
A48-24750-10,2,05/02/2019,01,199031700,,06/2017,60,03/05/2019,22/03/2019,043,13/08/2019,17,"55,928.93",,,
A48-24750-10,2,05/02/2019,01,199031701,,07/2017,60,03/05/2019,22/03/2019,043,13/08/2019,17,"78,809.01",,,
A48-24750-10,2,05/02/2019,01,199031702,,08/2017,60,03/05/2019,22/03/2019,043,13/08/2019,17,"78,809.01",,,
A48-24750-10,2,05/02/2019,01,199031703,,09/2017,60,03/05/2019,22/03/2019,043,13/08/2019,17,"15,253.32",,,
A48-24750-10,2,05/02/2019,01,199031704,,06/2017,88,03/05/2019,22/03/2019,043,13/08/2019,17,"22,371.57",,,
A48-24750-10,2,05/02/2019,01,199031705,,07/2017,88,03/05/2019,22/03/2019,043,13/08/2019,17,"31,523.60",,,
A48-24750-10,2,05/02/2019,01,199031706,,08/2017,88,03/05/2019,22/03/2019,043,13/08/2019,17,"31,523.60",,,
A48-24750-10,2,05/02/2019,01,199031707,,09/2017,88,03/05/2019,22/03/2019,043,13/08/2019,17,"6,101.33",,,
A48-24750-10,2,05/02/2019,01,196013708,,03/2019,81,18/07/2019,14/08/2019,009,19/07/2019,42,53.32,,,
A48-24750-10,2,05/02/2019,01,199031708,,03/2017,88,03/05/2019,22/03/2019,043,13/08/2019,17,"5,848.08",,,
A48-24750-10,2,05/02/2019,01,199031709,,04/2017,88,03/05/2019,22/03/2019,043,13/08/2019,17,"16,480.96",,,
A48-24750-10,2,05/02/2019,01,199031710,,05/2017,88,03/05/2019,22/03/2019,043,13/08/2019,17,"1,594.93",,,
A48-24750-10,2,05/02/2019,01,198012341,,05/2019,80,28/06/2019,08/02/2019,009,07/10/2019,51,122.28,,,
A48-24750-10,2,05/02/2019,01,196009959,,02/2019,81,21/05/2019,24/06/2019,043,13/08/2019,17,"1,720.00",,,
A48-24750-10,2,05/02/2019,01,198010597,,04/2019,80,29/05/2019,07/04/2019,002,08/06/2019,24,"1,870.91",,,
A48-24788-10,2,07/04/2019,04,191061045,,07/2019,02,31/07/2019,,000,31/07/2019,30,159.8,,,
A48-24802-10,1,07/01/2010,10,198003819,,01/2019,80,19/02/2019,25/02/2019,023,04/10/2019,142,"2,820.72",,,
A48-24846-10,1,08/06/2010,03,186019833,,05/2018,81,21/11/2018,22/11/2018,023,30/01/2019,212,"4,113.07",,,
A48-24893-10,1,22/09/2010,07,148021176,,10/2014,80,12/05/2014,,025,13/01/2015,1690,666.33,,,
A48-24893-10,1,22/09/2010,07,142021176,,10/2014,02,12/05/2014,,025,13/01/2015,1690,"1,665.84",,,
A48-24893-10,1,22/09/2010,07,146021690,,05/2014,81,12/05/2014,,025,13/01/2015,1690,379.87,,,
A48-24925-10,1,13/10/2010,00,189030818,,03/2017,89,13/04/2018,15/05/2018,014,10/11/2018,323,"1,509.80",,,
A48-24925-10,1,13/10/2010,00,183000589,,05/2018,03,07/06/2018,07/11/2018,014,30/08/2018,365,"39,507.03",,,
A48-24925-10,1,13/10/2010,00,188000589,,05/2018,82,07/06/2018,07/11/2018,014,30/08/2018,365,"15,802.81",,,
A48-24969-10,2,15/05/2019,05,196014326,,03/2019,81,30/07/2019,,009,08/12/2019,18,256.95,,,
A48-24971-10,3,09/10/2016,07,169025938,,08/2016,00,08/02/2016,30/09/2016,014,04/06/2018,511,"191,360.90",,,
A48-24973-10,2,15/07/2019,05,196013711,,03/2019,81,18/07/2019,19/08/2019,009,24/07/2019,37,640.12,,,
A48-24973-10,2,15/07/2019,05,192011822,,05/2019,02,18/06/2019,18/07/2019,009,21/06/2019,70,"1,959.15",,,
A48-24973-10,2,15/07/2019,05,198011822,,05/2019,80,18/06/2019,18/07/2019,009,21/06/2019,70,783.66,,,
A48-24973-10,2,15/07/2019,05,192015440,,07/2019,02,20/08/2019,,009,22/08/2019,8,948,,,
A48-24973-10,2,15/07/2019,05,198015440,,07/2019,80,20/08/2019,,009,22/08/2019,8,379.2,,,
A48-24973-10,2,15/07/2019,05,196009965,,02/2019,81,21/05/2019,22/05/2019,009,07/08/2019,53,723.63,,,
A48-24973-10,2,15/07/2019,05,198009166,,04/2019,80,21/05/2019,22/05/2019,009,07/08/2019,53,758.38,,,
A48-24973-10,2,15/07/2019,05,198012984,,06/2019,80,18/07/2019,19/08/2019,009,24/07/2019,37,758.38,,,
A48-24973-10,2,15/07/2019,05,192012984,,06/2019,02,18/07/2019,19/08/2019,009,24/07/2019,37,"1,895.97",,,
A48-24975-10,1,11/01/2010,05,198012342,,05/2019,80,28/06/2019,08/09/2019,023,08/12/2019,18,809.37,,,
A48-24975-10,1,11/01/2010,05,196011149,,02/2019,81,29/05/2019,14/06/2019,023,08/12/2019,18,826.8,,,
A48-24975-10,1,11/01/2010,05,198012985,,06/2019,80,18/07/2019,25/07/2019,023,08/12/2019,18,783.26,,,
A48-24975-10,1,11/01/2010,05,198010599,,04/2019,80,29/05/2019,14/06/2019,023,08/12/2019,18,783.26,,,
A48-25010-10,1,23/12/2010,05,198012343,,05/2019,80,28/06/2019,07/12/2019,023,08/12/2019,18,280.36,,,
A48-25023-10,1,01/05/2011,01,191061100,,07/2019,02,31/07/2019,,000,31/07/2019,30,742.24,,,
A48-25023-10,1,01/05/2011,01,198010600,,04/2019,80,29/05/2019,06/12/2019,023,29/07/2019,32,258.59,,,
A48-25023-10,1,01/05/2011,01,186019839,,05/2018,81,21/11/2018,22/11/2018,023,15/01/2019,227,127.26,,,
A48-25023-10,1,01/05/2011,01,196011150,,02/2019,81,29/05/2019,06/12/2019,023,29/07/2019,32,147.89,,,
A48-25023-10,1,01/05/2011,01,188019058,,10/2018,80,21/11/2018,22/11/2018,023,15/01/2019,227,247.91,,,
A48-25031-10,3,20/10/2015,09,191061102,,07/2019,02,31/07/2019,,000,31/07/2019,30,989.18,,,
A48-25062-10,2,21/08/2015,07,149016516,,08/2014,00,15/08/2014,27/08/2014,014,13/05/2019,109,"3,474,500.38",,,
A48-25076-10,1,02/12/2011,05,196013714,,03/2019,81,18/07/2019,20/07/2019,031,23/08/2019,7,470.54,,,
A48-25076-10,1,02/12/2011,05,192015443,,07/2019,02,20/08/2019,26/08/2019,002,26/08/2019,4,"1,672.51",,,
A48-25076-10,1,02/12/2011,05,198015443,,07/2019,80,20/08/2019,26/08/2019,002,26/08/2019,4,669,,,
A48-25076-10,1,02/12/2011,05,192012987,,06/2019,02,18/07/2019,20/07/2019,031,23/08/2019,7,"1,618.58",,,
A48-25076-10,1,02/12/2011,05,198012987,,06/2019,80,18/07/2019,20/07/2019,031,23/08/2019,7,647.43,,,
A48-25183-10,3,01/08/2019,05,191061129,,07/2019,02,31/07/2019,,000,31/07/2019,30,"8,763.47",,,
A48-25191-10,1,23/05/2011,04,198014826,,06/2019,80,30/07/2019,13/08/2019,002,13/08/2019,17,"1,331.26",,,
A48-25191-10,1,23/05/2011,04,196014328,,03/2019,81,30/07/2019,13/08/2019,002,13/08/2019,17,791.96,,,
A48-25207-10,1,06/01/2011,07,196013716,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,328.64,,,
A48-25207-10,1,06/01/2011,07,198014828,,06/2019,80,30/07/2019,14/08/2019,008,22/08/2019,8,757.23,,,
A48-25207-10,1,06/01/2011,07,192014828,,06/2019,02,30/07/2019,14/08/2019,008,22/08/2019,8,"1,893.08",,,
A48-25207-10,1,06/01/2011,07,191061136,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,956.16",,,
A48-25207-10,1,06/01/2011,07,196009970,,02/2019,81,21/05/2019,28/05/2019,023,07/12/2019,49,295.78,,,
A48-25207-10,1,06/01/2011,07,198009171,,04/2019,80,21/05/2019,28/05/2019,023,07/12/2019,49,681.51,,,
A48-25240-10,3,01/04/2019,00,198010601,,04/2019,80,29/05/2019,14/06/2019,023,19/08/2019,11,"50,591.35",,,
A48-25240-10,3,01/04/2019,00,198012346,,05/2019,80,28/06/2019,07/12/2019,023,19/08/2019,11,"19,807.44",,,
A48-25240-10,3,01/04/2019,00,196011151,,02/2019,81,29/05/2019,14/06/2019,023,19/08/2019,11,"20,163.60",,,
A48-25267-10,3,27/02/2019,05,192015445,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"3,380.20",,,
A48-25333-10,1,24/08/2011,09,191061165,,07/2019,02,31/07/2019,,000,31/07/2019,30,"2,473.59",,,
A48-25410-10,3,24/11/2016,05,198015447,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"3,695.10",,,
A48-25482-10,3,02/10/2018,03,198011831,,05/2019,80,18/06/2019,21/06/2019,023,08/02/2019,28,280.36,,,
A48-25482-10,3,02/10/2018,03,198015448,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,311.51,,,
A48-25491-10,1,25/01/2012,05,198010604,,04/2019,80,29/05/2019,06/12/2019,023,08/02/2019,28,550.57,,,
A48-25491-10,1,25/01/2012,05,196011153,,02/2019,81,29/05/2019,06/12/2019,023,08/02/2019,28,363.93,,,
A48-25512-10,2,05/02/2019,05,196014331,,03/2019,81,30/07/2019,,009,08/12/2019,18,5.38,,,
A48-25512-10,2,05/02/2019,05,198012348,,05/2019,80,28/06/2019,08/02/2019,009,07/10/2019,51,25.24,,,
