1PROG.- EEAMX14A                                       COORDINACION DE COBRANZA                                       PAGINA:      01,,,18/09/2019 14:03,,,,,,,,,,,,,
                    DELEGACION: 06 REGIONAL COLIMA                          SUBDELEGACION: 03 MANZANILLO                             ,,,,,,,,,,,,,,,,
 COBR0603                                                                                                                            ,,,,,,,,,,,,,,,,
                                           PATRONES CON CREDITOS EN R.A.L.E. AL 30 08 2019                                           ,,,,,,,,,,,,,,,,
                                                   C R E D I T O S   P R O P I O S                                                   ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
TOTAL DE LA SUBDELEGACION:,PATRONES:, 374 ,CREDITOS:," 1,609 ",IMPORTE:," 35,050,610.58 ",,,,,,,,,,
"              ACT.ECO:             MODALIDAD(ES): 10....17        TIPO DOCTO(S): 00....89        INCIDENCIA(S): 00,..,55             ",,,,,,,,,,,,,,,,
             IMPORTE:                                          PERIODO:                       ANTIGUEDAD  MAYOR  A:                  ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
REGPATR,MOV,FEC MOV,SECTOR,NUM CRED,CE,PERIODO,TD,FALTA,FEC NOTIF,FEC INC,FEC. INCID.,DIAS,IMPORTE,DEL CONT,SUB CONT,OBSERVACIONES
A48-16645-10,1,27/09/1995,00,198000674,,04/2017,82,28/05/2019,06/12/2019,023,08/12/2019,18,202.28,,,
A48-16645-10,1,27/09/1995,00,198000581,,01/2017,82,13/05/2019,24/05/2019,023,08/12/2019,18,18.71,,,
A48-16645-10,1,27/09/1995,00,198000682,,09/2017,82,06/03/2019,06/12/2019,023,08/12/2019,18,36.48,,,
A48-16645-10,1,27/09/1995,00,198000689,,10/2017,82,06/03/2019,06/12/2019,023,08/12/2019,18,122.82,,,
A48-17070-10,3,04/04/2018,05,191060254,,07/2019,02,31/07/2019,,000,31/07/2019,30,"5,588.16",,,
A48-17070-10,3,04/04/2018,05,196013656,,03/2019,81,18/07/2019,19/07/2019,031,13/08/2019,17,"1,277.78",,,
A48-17216-10,2,09/07/2015,00,116016700,,03/2011,81,13/01/2017,,034,22/02/2019,189,"86,627.47",12,02,
A48-17216-10,2,09/07/2015,00,106033401,,05/2010,81,13/01/2017,,034,22/02/2019,189,"68,429.79",12,02,
A48-17216-10,2,09/07/2015,00,126009219,,02/2012,81,13/01/2017,,034,22/02/2019,189,"86,960.86",12,02,
A48-17216-10,2,09/07/2015,00,128012122,,06/2012,80,13/01/2017,,034,22/02/2019,189,"66,040.15",12,02,
A48-17216-10,2,09/07/2015,00,106003528,,06/2009,81,13/01/2017,,034,22/02/2019,189,"72,720.63",12,02,
A48-17216-10,2,09/07/2015,00,128014830,,07/2012,80,13/01/2017,,034,22/02/2019,189,"68,576.96",12,02,
A48-17216-10,2,09/07/2015,00,126005131,,01/2012,81,13/01/2017,,034,22/02/2019,189,"82,946.48",12,02,
A48-17216-10,2,09/07/2015,00,116025740,,05/2011,81,13/01/2017,,034,22/02/2019,189,"74,465.93",12,02,
A48-17216-10,2,09/07/2015,00,116021141,,04/2011,81,13/01/2017,,034,22/02/2019,189,"80,997.83",12,02,
A48-17216-10,2,09/07/2015,00,116012052,,02/2011,81,13/01/2017,,034,22/02/2019,189,"88,045.94",12,02,
A48-17216-10,2,09/07/2015,00,126013054,,03/2012,81,13/01/2017,,034,22/02/2019,189,"72,936.39",12,02,
A48-17216-10,2,09/07/2015,00,126002054,,06/2011,81,13/01/2017,,034,22/02/2019,189,"76,534.58",12,02,
A48-17216-10,2,09/07/2015,00,106016055,,03/2010,81,13/01/2017,,034,22/02/2019,189,"78,128.14",12,02,
A48-17216-10,2,09/07/2015,00,126016556,,04/2012,81,13/01/2017,,034,22/02/2019,189,"73,876.23",12,02,
A48-17216-10,2,09/07/2015,00,116002262,,06/2010,81,13/01/2017,,034,22/02/2019,189,"81,142.83",12,02,
A48-17216-10,2,09/07/2015,00,106021167,,04/2010,81,13/01/2017,,034,22/02/2019,189,"75,774.91",12,02,
A48-17216-10,2,09/07/2015,00,116005874,,01/2011,81,13/01/2017,,034,22/02/2019,189,"80,226.04",12,02,
A48-17216-10,2,09/07/2015,00,178001377,,05/2015,82,24/07/2017,22/09/2017,034,22/02/2019,189,"58,154.56",12,02,
A48-17216-10,2,09/07/2015,00,128010878,,05/2012,80,13/01/2017,,034,22/02/2019,189,"75,730.18",12,02,
A48-17216-10,2,09/07/2015,00,128015687,,08/2012,80,13/01/2017,,034,22/02/2019,189,"70,327.00",12,02,
A48-17386-10,3,12/01/2008,06,192015403,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"2,435.76",,,
A48-17386-10,3,12/01/2008,06,198015403,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,974.3,,,
A48-17386-10,3,12/01/2008,06,198012937,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,942.9,,,
A48-17386-10,3,12/01/2008,06,196013658,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,658.16,,,
A48-17591-10,3,25/05/2018,07,196009901,,02/2019,81,21/05/2019,28/05/2019,023,19/07/2019,42,529.78,,,
A48-17591-10,3,25/05/2018,07,192015404,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"1,538.12",,,
A48-17591-10,3,25/05/2018,07,198015404,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,615.24,,,
A48-17591-10,3,25/05/2018,07,198009113,,04/2019,80,21/05/2019,28/05/2019,023,19/07/2019,42,803.02,,,
A48-17591-10,3,25/05/2018,07,192012938,,06/2019,02,18/07/2019,24/07/2019,031,23/08/2019,7,"1,488.53",,,
A48-17591-10,3,25/05/2018,07,198012938,,06/2019,80,18/07/2019,24/07/2019,031,23/08/2019,7,595.41,,,
A48-17591-10,3,25/05/2018,07,196013659,,03/2019,81,18/07/2019,24/07/2019,031,23/08/2019,7,452.34,,,
A48-17591-10,3,25/05/2018,07,198011771,,05/2019,80,18/06/2019,19/06/2019,023,17/07/2019,44,749.83,,,
A48-17611-10,1,15/07/1997,05,191060287,,07/2019,02,31/07/2019,,000,31/07/2019,30,"4,478.43",,,
A48-17687-10,1,09/11/1997,08,198015405,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,902.6,,,
A48-17687-10,1,09/11/1997,08,192015405,,07/2019,02,20/08/2019,22/08/2019,002,22/08/2019,8,"2,256.50",,,
A48-17687-10,1,09/11/1997,08,196014307,,03/2019,81,30/07/2019,13/08/2019,008,22/08/2019,8,299.98,,,
A48-17687-10,1,09/11/1997,08,192014808,,06/2019,02,30/07/2019,13/08/2019,008,22/08/2019,8,"1,451.03",,,
A48-17687-10,1,09/11/1997,08,198014808,,06/2019,80,30/07/2019,13/08/2019,008,22/08/2019,8,580.41,,,
A48-17702-10,3,11/01/2002,05,191060294,,07/2019,02,31/07/2019,,000,31/07/2019,30,"7,849.23",,,
A48-17833-10,3,25/07/2019,05,198015406,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"1,319.22",,,
A48-18082-10,2,09/07/2015,00,128015700,,08/2012,80,01/12/2017,,034,22/02/2019,189,"88,991.07",12,02,
A48-18082-10,2,09/07/2015,00,129004407,,03/2011,80,01/12/2017,,034,22/02/2019,189,"107,495.14",12,02,
A48-18082-10,2,09/07/2015,00,158050223,,03/2015,89,15/05/2015,21/05/2015,034,22/02/2019,189,"1,402.00",12,02,
A48-18082-10,2,09/07/2015,00,152008726,,04/2015,02,19/05/2015,21/05/2015,034,22/02/2019,189,"74,433.95",12,02,
A48-18082-10,2,09/07/2015,00,126009231,,02/2012,81,01/12/2017,,034,22/02/2019,189,"84,591.48",12,02,
A48-18082-10,2,09/07/2015,00,128012134,,06/2012,80,01/12/2017,,034,22/02/2019,189,"89,025.14",12,02,
